source;target;weight
adru [[dark, afraid, scared, threshing floor]];šutadduru [[constantly terrified]];0.022
adru [[dark, afraid, scared, threshing floor]];tabriu [[fodder crop]];0.017
adru [[dark, afraid, scared, threshing floor]];adru [[dark, afraid, scared, threshing floor]];0.016
adru [[dark, afraid, scared, threshing floor]];tēlītu [[produce, revenue]];0.013
adru [[dark, afraid, scared, threshing floor]];mašādu [[beat]];0.011
adru [[dark, afraid, scared, threshing floor]];kirû [[(fruit) plantation, orchard, garden]];0.011
adru [[dark, afraid, scared, threshing floor]];būrtu [[cistern, well, cow]];0.011
adru [[dark, afraid, scared, threshing floor]];barārīti [[evening watch]];0.01
adru [[dark, afraid, scared, threshing floor]];antallû [[eclipse]];0.009
adru [[dark, afraid, scared, threshing floor]];iltāni [[north]];0.009
adru [[dark, afraid, scared, threshing floor]];iltānu [[north wind, north]];0.009
adru [[dark, afraid, scared, threshing floor]];šadî [[east]];0.009
adru [[dark, afraid, scared, threshing floor]];gubbu [[cistern]];0.009
adru [[dark, afraid, scared, threshing floor]];šūti [[south]];0.008
adru [[dark, afraid, scared, threshing floor]];eqlu [[field, area]];0.008
adru [[dark, afraid, scared, threshing floor]];šīqu [[watering, (an illness), levelling off (of grain in measuring vessel), irrigation]];0.008
adru [[dark, afraid, scared, threshing floor]];Dapinu [[Jupiter, 1]];0.007
adru [[dark, afraid, scared, threshing floor]];palhu [[fearful, fearful one, fearsome, fearsome one]];0.007
adru [[dark, afraid, scared, threshing floor]];zakû [[be(come) clear, pure, pure one, clear]];0.007
adru [[dark, afraid, scared, threshing floor]];amurri [[west]];0.007
adru [[dark, afraid, scared, threshing floor]];šāt&&urri [[who(m)&&daytime]];0.007
adru [[dark, afraid, scared, threshing floor]];mazrūtu [[basket (of a gardener etc.), (area or state of) cultivation]];0.007
adru [[dark, afraid, scared, threshing floor]];arqu [[yellow, green]];0.007
adru [[dark, afraid, scared, threshing floor]];Nimru [[Leopard, Cygnus, 'Panther', Panther (Cygnus)]];0.006
adru [[dark, afraid, scared, threshing floor]];imēru [[donkey, unit]];0.006
adru [[dark, afraid, scared, threshing floor]];šahluqtu [[destruction]];0.005
adru [[dark, afraid, scared, threshing floor]];qatû [[come to an end, ended, finish, completed, ended one, finished]];0.005
adru [[dark, afraid, scared, threshing floor]];mâtu [[die]];0.005
adru [[dark, afraid, scared, threshing floor]];ittāti [[sign]];0.005
adru [[dark, afraid, scared, threshing floor]];bītu [[house, spending the night, temple, stayed overnight]];0.005
adru [[dark, afraid, scared, threshing floor]];lumnu [[evil]];0.005
adru [[dark, afraid, scared, threshing floor]];adāru [[be(come) dark, be(come) afraid (of), (a tree), be(come) afraid, be afraid (of), be(come) afraid of, (be)come dark]];0.005
adru [[dark, afraid, scared, threshing floor]];idu [[arm, doorkeeper]];0.005
adru [[dark, afraid, scared, threshing floor]];barārītu [[dusk, evening watch]];0.005
adru [[dark, afraid, scared, threshing floor]];niphu [[(the act of) lighting, (the act of) lighting up, (act of) lighting]];0.005
adru [[dark, afraid, scared, threshing floor]];Šinunutu [[Swallow, 'Swallo star' (part of Pisces), 'Swallow star' (part of Pisces)]];0.005
adru [[dark, afraid, scared, threshing floor]];qablīti [[middle watch]];0.005
adru [[dark, afraid, scared, threshing floor]];innamir [[appear]];0.005
adru [[dark, afraid, scared, threshing floor]];pirsu [[weaned]];0.005
adru [[dark, afraid, scared, threshing floor]];innamrū [[appear, see]];0.004
adru [[dark, afraid, scared, threshing floor]];šegû [[be(come) wild, wild]];0.004
adru [[dark, afraid, scared, threshing floor]];alaktu [[way]];0.004
adru [[dark, afraid, scared, threshing floor]];lumnu&&libbu [[evil&&interior, misdeed&&interior]];0.004
adru [[dark, afraid, scared, threshing floor]];šakānu [[put]];0.004
adru [[dark, afraid, scared, threshing floor]];Niru [[Yoke, Boötes, 'yoke-star', 'Yoke star']];0.004
adru [[dark, afraid, scared, threshing floor]];bibbu [[planet, (a kind of wild sheep)]];0.004
adru [[dark, afraid, scared, threshing floor]];Sîn [[1]];0.004
adru [[dark, afraid, scared, threshing floor]];tadānu [[give]];0.004
adru [[dark, afraid, scared, threshing floor]];tillatu [[help, vine, reinforcements, auxiliaries]];0.004
adru [[dark, afraid, scared, threshing floor]];ša-muhhi-bēti [[overseer of the household]];0.004
adāru [[be(come) dark, be(come) afraid (of), (a tree), be(come) afraid, be afraid (of), be(come) afraid of, (be)come dark]];iltāni [[north]];0.019
adāru [[be(come) dark, be(come) afraid (of), (a tree), be(come) afraid, be afraid (of), be(come) afraid of, (be)come dark]];šūti [[south]];0.016
adāru [[be(come) dark, be(come) afraid (of), (a tree), be(come) afraid, be afraid (of), be(come) afraid of, (be)come dark]];šadî [[east]];0.016
adāru [[be(come) dark, be(come) afraid (of), (a tree), be(come) afraid, be afraid (of), be(come) afraid of, (be)come dark]];šalgu [[snow]];0.012
adāru [[be(come) dark, be(come) afraid (of), (a tree), be(come) afraid, be afraid (of), be(come) afraid of, (be)come dark]];šuribatu [[terror?]];0.011
adāru [[be(come) dark, be(come) afraid (of), (a tree), be(come) afraid, be afraid (of), be(come) afraid of, (be)come dark]];šuttinnu [[bat]];0.011
adāru [[be(come) dark, be(come) afraid (of), (a tree), be(come) afraid, be afraid (of), be(come) afraid of, (be)come dark]];huliam [[helmet]];0.011
adāru [[be(come) dark, be(come) afraid (of), (a tree), be(come) afraid, be afraid (of), be(come) afraid of, (be)come dark]];antallû [[eclipse]];0.01
adāru [[be(come) dark, be(come) afraid (of), (a tree), be(come) afraid, be afraid (of), be(come) afraid of, (be)come dark]];šāt&&urri [[who(m)&&daytime]];0.009
adāru [[be(come) dark, be(come) afraid (of), (a tree), be(come) afraid, be afraid (of), be(come) afraid of, (be)come dark]];adāru [[be(come) dark, be(come) afraid (of), (a tree), be(come) afraid, be afraid (of), be(come) afraid of, (be)come dark]];0.009
adāru [[be(come) dark, be(come) afraid (of), (a tree), be(come) afraid, be afraid (of), be(come) afraid of, (be)come dark]];tāhāzu [[battle]];0.009
